order_id	product_id	product_name	vendor_id	nombre_proveedor	option_id	quantity	shipping_fee	tax 	total_cost	order_date	delivery_date	ship_name 	ship_address 	tracking_number	delivery_status
1000	1200	Macbook Pro (2017)	5000	Apple 	1201	2	 $7.00 	 $0.09 	 $50.02 	17/10/2018	20/10/2018	Anna Addison	"1325 Candy Rd, San Francisco, CA 96123"	ZW60001 	1
1000	1200	Macbook Pro (2017)	5000	Apple 	1202	1	 $7.00 	 $0.09 	 $50.02 	17/10/2018	20/10/2018	Anna Addison	"1325 Candy Rd, San Francisco, CA 96123"	ZW60001 	1
1000	1300	Macbook Air (2015) 	5000	Apple 	1301	3	 $7.00 	 $0.09 	 $50.02 	17/10/2018	20/10/2018	Anna Addison	"1325 Candy Rd, San Francisco, CA 96123"	ZW60001 	1
1000	1300	Macbook Air (2015) 	5000	Apple 	1302	2	 $7.00 	 $0.09 	 $50.02 	17/10/2018	20/10/2018	Anna Addison	"1325 Candy Rd, San Francisco, CA 96123"	ZW60001 	1
1001	1400	Iphone X	5100	 Microsoft 	1401	1	 $8.00 	 $0.06 	 $62.45 	15/10/2018	18/10/2018	Carol Campbell	"1931 Brown St, Gainesville, FL 85321"	AB61001 	0
1001	1400	Iphone X	5100	 Microsoft 	1402	1	 $8.00 	 $0.06 	 $62.45 	15/10/2018	18/10/2018	Carol Campbell	"1931 Brown St, Gainesville, FL 85321"	AB61001 	0
1001	1500	Iphone 7	5100	 Microsoft 	1501	2	 $8.00 	 $0.06 	 $62.45 	15/10/2018	18/10/2018	Carol Campbell	"1931 Brown St, Gainesville, FL 85321"	AB61001 	0
1001	1500	Iphone 7	5100	 Microsoft 	1502	3	 $8.00 	 $0.06 	 $62.45 	15/10/2018	18/10/2018	Carol Campbell	"1931 Brown St, Gainesville, FL 85321"	AB61001 	0
1002	1600	Iphone 8	5100	 Microsoft 	1601	2	 $10.00 	 $0.09 	 $40.33 	14/10/2018	17/10/2018	Julia Jones 	"1622 Seaside St, Seattle, WA 32569 "	CD62001 	1
1002	1600	Iphone 8	5100	 Microsoft 	1602	1	 $10.00 	 $0.09 	 $40.33 	14/10/2018	17/10/2018	Julia Jones 	"1622 Seaside St, Seattle, WA 32569 "	CD62001 	1
1002	1700	Ipad Air	5200	Lenovo 	1701	1	 $10.00 	 $0.09 	 $40.33 	14/10/2018	17/10/2018	Julia Jones 	"1622 Seaside St, Seattle, WA 32569 "	CD62001 	1
1002	1700	Ipad Air	5200	Lenovo 	1702	3	 $10.00 	 $0.09 	 $40.33 	14/10/2018	17/10/2018	Julia Jones 	"1622 Seaside St, Seattle, WA 32569 "	CD62001 	1
1003	1800	Ipad Mini 3th gen	5200	Lenovo 	1801	1	 $20.00 	 $0.06 	 $70.98 	12/10/2018	15/10/2018	Irene Everly 	"1756 East Dr, Houston, TX 28562"	KB63001 	0
1003	1800	Ipad Mini 3th gen	5200	Lenovo 	1802	2	 $20.00 	 $0.06 	 $70.98 	12/10/2018	15/10/2018	Irene Everly 	"1756 East Dr, Houston, TX 28562"	KB63001 	0
